expense_date,category,amount,description
2026-02-01,Food,150.00,Breakfast
2026-02-02,Travel,60.00,Metro
2026-02-03,Utilities,800.00,Mobile Bill
2026-02-04,Food,200.00,Office Lunch
2026-02-05,Shopping,500.00,Gift
2026-02-06,Travel,45.00,Bus
2026-02-07,Misc,100.00,Donation
2026-02-08,Food,600.00,Weekend Dinner
2026-02-09,Office,150.00,Pens
2026-02-10,Health,400.00,Medicines
2026-02-11,Food,180.00,Snacks
2026-02-12,Travel,60.00,Metro
2026-02-13,Entertainment,1000.00,Movie
2026-02-14,Food,1500.00,Valentine Dinner
2026-02-15,Shopping,2000.00,Watch
2026-02-16,Travel,45.00,Bus
2026-02-17,Food,220.00,Lunch
2026-02-18,Utilities,1200.00,Electricity
2026-02-19,Misc,50.00,Laundry
2026-02-20,Food,250.00,Grocery
2026-02-21,Travel,100.00,Taxi
2026-02-22,Health,300.00,Checkup
2026-02-23,Food,120.00,Tea/Coffee
2026-02-24,Office,500.00,Keyboard
2026-02-25,Shopping,300.00,T-shirt
2026-02-26,Travel,60.00,Metro
2026-02-27,Food,200.00,Dinner
2026-02-28,Misc,300.00,Haircut
