expense_date,category,amount,description
2026-06-01,Utilities,1000.00,Gas Refill
2026-06-02,Travel,60.00,Metro
2026-06-03,Food,150.00,Breakfast
2026-06-04,Office,800.00,Laptop Skin
2026-06-05,Health,200.00,Consultation
2026-06-06,Shopping,500.00,Shorts
2026-06-07,Travel,150.00,Taxi to Party
2026-06-08,Food,200.00,Pizza slice
2026-06-09,Misc,50.00,Stationery
2026-06-10,Entertainment,1200.00,Netflix Yearly
2026-06-11,Travel,60.00,Metro
2026-06-12,Food,300.00,Dinner Out
2026-06-13,Health,400.00,Blood Test
2026-06-14,Shopping,2000.00,Earbuds
2026-06-15,Utilities,800.00,Mobile Bill
2026-06-16,Food,120.00,Tea and Snacks
2026-06-17,Travel,45.00,Bus fare
2026-06-18,Office,300.00,Files and Folders
2026-06-19,Misc,100.00,Barber
2026-06-20,Food,220.00,Office Lunch
2026-06-21,Travel,100.00,Rickshaw
2026-06-22,Health,150.00,Painkillers
2026-06-23,Shopping,600.00,T-shirt
2026-06-24,Entertainment,400.00,Bowling
2026-06-25,Food,450.00,Groceries
2026-06-26,Office,250.00,Printer Paper
2026-06-27,Travel,60.00,Metro
2026-06-28,Utilities,500.00,Internet
2026-06-29,Food,180.00,Fruits
2026-06-30,Misc,300.00,Small repair
